,be,bg,ca,cs,en,es,pl,ru,sl,tr,uk,gender
1411,Джоні Дэп,Джони Деп,Johnny Depp,Johnny Depp,Johnny Depp,Johnny Depp,Johnny Depp,Джонни Депп,Johnny Depp,Johnny Depp,Джонні Депп,m
1412,Рафаэль Карэа,Рафаел Кореа,Rafael Correa,Rafael Correa,Rafael Correa,Rafael Correa,Rafael Correa,Рафаэль Корреа,Rafael Correa,Rafael Correa,Рафаель Корреа,m
1413,Гары Каспараў,Гари Каспаров,Garri Kaspàrov,Garri Kasparov,Garry Kasparov,Garri Kaspárov,Garri Kasparow,Гарри Каспаров,Gari Kasparov,Garri Kasparov,Гаррі Каспаров,m
1414,Ліза Кудрау,Лиса Кудроу,Lisa Kudrow,Lisa Kudrow,Lisa Kudrow,Lisa Kudrow,Lisa Kudrow,Лиза Кудроу,Lisa Kudrow,Lisa Kudrow,Ліза Кудров,f
1415,Ясухару Курата,Ясухару Курата,Yasuharu Kurata,Jasuharu Kurata,Yasuharu Kurata,Yasuharu Kurata,Yasuharu Kurata,Ясухару Курата,Jasuharu Kurata,Yasuharu Kurata,Курата Ясухару,m
1416,Ціль Ліндэман,Тил Линдеман,Till Lindemann,Till Lindemann,Till Lindemann,Till Lindemann,Till Lindemann,Тилль Линдеманн,Till Lindemann,Till Lindemann,Тілль Ліндеманн,m
1417,Джордж Майкл,Джордж Майкъл,George Michael,George Michael,George Michael,George Michael,George Michael,Джордж Майкл,George Michael,George Michael,Джордж Майкл,m
1418,Марыя Рэса,Мария Реса,Maria Ressa,Maria Ressaová,Maria Ressa,María Ressa,Maria Ressa,Мария Ресса,Maria Ressa,Maria Ressa,Марія Ресса,f
1419,Жазэ Маўрынью,Жозе Моуриньо,José Mourinho,José Mourinho,José Mourinho,José Mourinho,José Mourinho,Жозе Моуринью,José Mourinho,José Mourinho,Жозе Моурінью,m
1420,Май-Брыт Мозер,Май-Брит Мосер,May-Britt Moser,May-Britt Moserová,May-Britt Moser,May-Britt Moser,May-Britt Moser,Мей-Бритт Мозер,May-Britt Moser,May-Britt Moser,Мей-Бритт Мозер,f
1421,Віктар Орбан,Виктор Орбан,Viktor Orbán,Viktor Orbán,Viktor Orbán,Viktor Orbán,Viktor Orbán,Виктор Орбан,Viktor Orbán,Viktor Orbán,Віктор Орбан,m
1422,Павел VI,Павел VI,Pau VI,Pavel VI.,Pope Paul VI,Pablo VI,Paweł VI,Павел VI,Papež Pavel VI.,VI. Paulus,Павло VI,m
1423,Майк Пампеа,Майк Помпео,Mike Pompeo,Mike Pompeo,Mike Pompeo,Mike Pompeo,Mike Pompeo,Майк Помпео,Mike Pompeo,Mike Pompeo,Майк Помпео,m
1424,Борут Пахар,Борут Пахор,Borut Pahor,Borut Pahor,Borut Pahor,Borut Pahor,Borut Pahor,Борут Пахор,Borut Pahor,Borut Pahor,Борут Пахор,m
1425,Брэд Піт,Брад Пит,Brad Pitt,Brad Pitt,Brad Pitt,Brad Pitt,Brad Pitt,Брэд Питт,Brad Pitt,Brad Pitt,Бред Пітт,m
1426,Эдзі Рама,Еди Рама,Edi Rama,Edi Rama,Edi Rama,Edi Rama,Edi Rama,Эди Рама,Edi Rama,Edi Rama,Еді Рама,m
1427,Тору Сано,Тору Сано,Toru Sano,Tóru Sano,Toru Sano,Toru Sano,Tōru Sano,Тору Сано,Toru Sano,Toru Sano,Сано Тору,m
1428,Квенцін Таранціна,Куентин Тарантино,Quentin Tarantino,Quentin Tarantino,Quentin Tarantino,Quentin Tarantino,Quentin Tarantino,Квентин Тарантино,Quentin Tarantino,Quentin Tarantino,Квентін Тарантіно,m
1429,Ларс Ульрых,Ларс Улрих,Lars Ulrich,Lars Ulrich,Lars Ulrich,Lars Ulrich,Lars Ulrich,Ларс Ульрих,Lars Ulrich,Lars Ulrich,Ларс Ульріх,m
1430,Уітні Х’юстан,Уитни Хюстън,Whitney Houston,Whitney Houston,Whitney Houston,Whitney Houston,Whitney Houston,Уитни Хьюстон,Whitney Houston,Whitney Houston,Вітні Г'юстон,f
1431,Хелен Хант,Хелън Хънт,Helen Hunt,Helen Hunt,Helen Hunt,Helen Hunt,Helen Hunt,Хелен Хант,Helen Hunt,Helen Hunt,Гелен Гант,f
1432,Джэймс Алан Хэтфілд,Джеймс Хетфийлд,James Hetfield,James Hetfield,James Hetfield,James Hetfield,James Hetfield,Джеймс Хетфилд,James Hetfield,James Hetfield,Джеймс Гетфілд,m
1433,Міраслаў Цэрар,Мирослав Церар,Miro Cerar,Miro Cerar,Miro Cerar,Miro Cerar,Miro Cerar,Мирослав,Miroslav Cerar ml.,Miro Cerar,Миро Церар,m
1434,Петэр Шмейхель,Петер Шмайхел,Peter Schmeichel,Peter Schmeichel,Peter Schmeichel,Peter Schmeichel,Peter Schmeichel,Петер Шмейхель,Peter Schmeichel,Peter Schmeichel,Петер Шмейхель,m
1435,Мішэль Абама,Мишел Обама,Michelle Obama,Michelle Obamová,Michelle Obama,Michelle Obama,Michelle Obama,Мишель Обама,Michelle Obama,Michelle Obama,Мішель Обама,f
1436,Марка ван Бастэн,Марко ван Бастен,Marco van Basten,Marco van Basten,Marco van Basten,Marco van Basten,Marco van Basten,Марко Ван Бастен,Marco van Basten,Marco van Basten,Марко ван Бастен,m
1437,Бебету,Бебето,José Roberto Gama de Oliveira,Bebeto,Bebeto,Bebeto,Bebeto,Бебето,Bebeto,Bebeto,Бебето,m
1438,Джэф Безас,Джеф Безос,Jeff Bezos,Jeff Bezos,Jeff Bezos,Jeff Bezos,Jeff Bezos,Джефф Безос,Jeff Bezos,Jeff Bezos,Джефф Безос,m
1439,Дэн Браўн,Дан Браун,Dan Brown,Dan Brown,Dan Brown,Dan Brown,Dan Brown,Дэн Браун,Dan Brown,Dan Brown,Ден Браун,m
1440,Сандра Булак,Сандра Бълок,Sandra Bullock,Sandra Bullock,Sandra Bullock,Sandra Bullock,Sandra Bullock,Сандра Буллок,Sandra Bullock,Sandra Bullock,Сандра Буллок,f
1441,Марцін Вайнэк,Мартин Вайнек,Martin Weinek,Martin Weinek,Martin Weinek,Martin Weinek,Martin Weinek,Мартин Вайнек,Martin Weinek,Martin Weinek,Мартін Вайнек,m
1442,Дэвід Вудард,Дейвид Уудард,David Woodard,David Woodard,David Woodard,David Woodard,David Woodard,Дэвид Вудард,David Woodard,David Woodard,Девід Вудард,m
1443,Борыс Джонсан,Борис Джонсън,Boris Johnson,Boris Johnson,Boris Johnson,Boris Johnson,Boris Johnson,Борис Джонсон,Boris Johnson,Boris Johnson,Борис Джонсон,m
1444,Джузэпэ Контэ,Джузепе Конте,Giuseppe Conte,Giuseppe Conte,Giuseppe Conte,Giuseppe Conte,Giuseppe Conte,Джузеппе,Giuseppe Conte,Giuseppe Conte,Джузеппе Конте,m
1445,Джэніфер Даўдна,Дженифър Даудна,Jennifer Doudna,Jennifer Doudnaová,Jennifer Doudna,Jennifer Doudna,Jennifer Doudna,Дженнифер Даудна,Jennifer Doudna,Jennifer Doudna,Дженніфер Даудна,f
1446,Жаржынью,Жоржиньо,Jorge José de Amorim Campos,Jorginho,Jorginho,Jorginho,Jorginho,Жоржиньо,Jorginho,Jorginho,Жоржиньйо,m
1447,Нікалас Кейдж,Никълъс Кейдж,Nicolas Cage,Nicolas Cage,Nicolas Cage,Nicolas Cage,Nicolas Cage,Николас Кейдж,Nicolas Cage,Nicolas Cage,Ніколас Кейдж,m
1448,Юрген Клінсман,Юрген Клинсман,Jürgen Klinsmann,Jürgen Klinsmann,Jürgen Klinsmann,Jürgen Klinsmann,Jürgen Klinsmann,Юрген Клинсман,Jürgen Klinsmann,Jürgen Klinsmann,Юрген Клінсманн,m
1449,Кортні Кокс,Кортни Кокс,Courteney Cox,Courteney Cox,Courteney Cox,Courteney Cox,Courteney Cox,Кортни Кокс,Courteney Cox,Courteney Cox,Кортні Кокс,f
1450,Раберта Манчыні,Роберто Манчини,Roberto Mancini,Roberto Mancini,Roberto Mancini,Roberto Mancini,Roberto Mancini,Роберто Манчини,Roberto Mancini,Roberto Mancini,Роберто Манчіні,m
1451,Сатору Моцідзукі,Сатору Мочизуки,Satoru Mochizuki,Satoru Močizuki,Satoru Mochizuki,Satoru Mochizuki,Satoru Mochizuki,Сатору Мотидзуки,Satoru Močizuki,Satoru Mochizuki,Мотідзукі Сатору,m
1452,Мэры-Луіз Паркер,Мери-Луиз Паркър,Mary-Louise Parker,Mary-Louise Parkerová,Mary-Louise Parker,Mary-Louise Parker,Mary-Louise Parker,Мэри-Луиз Паркер,Mary-Louise Parker,Mary-Louise Parker,Мері-Луїз Паркер,f
1453,Акіхіро Нагасіма,Акихиро Нагашима,Akihiro Nagashima,Akihiro Nagašima,Akihiro Nagashima,Akihiro Nagashima,Akihiro Nagashima,Акихиро Нагасима,Akihiro Nagašima,Akihiro Nagashima,Наґасіма Акіхіро,m
1454,Гітанас Наўседа,Гитанас Науседа,Gitanas Nausėda,Gitanas Nausėda,Gitanas Nausėda,Gitanas Nausėda,Gitanas Nausėda,Гитанас Науседа,Gitanas Nausėda,Gitanas Nausėda,Ґітанас Науседа,m
1455,Расел Кроу,Ръсел Кроу,Russell Crowe,Russell Crowe,Russell Crowe,Russell Crowe,Russell Crowe,Рассел Кроу,Russell Crowe,Russell Crowe,Рассел Кроу,m
1456,Ларс Лёке Расмусен,Ларс Расмусен,Lars Løkke Rasmussen,Lars Løkke Rasmussen,Lars Løkke Rasmussen,Lars Løkke Rasmussen,Lars Løkke Rasmussen,Ларс Лёкке Расмуссен,Lars Løkke Rasmussen,Lars Løkke Rasmussen,Ларс Люкке Расмуссен,m
1457,Кіану Рыўз,Киану Рийвс,Keanu Reeves,Keanu Reeves,Keanu Reeves,Keanu Reeves,Keanu Reeves,Киану Ривз,Keanu Reeves,Keanu Reeves,Кіану Рівз,m
1458,Арвідас Сабоніс,Арвидас Сабонис,Arvydas Romas Sabonis,Arvydas Sabonis,Arvydas Sabonis,Arvydas Sabonis,Arvydas Sabonis,Арвидас Сабонис,Arvydas Sabonis,Arvydas Sabonis,Арвідас Сабоніс,m
1459,Ясухару Сорымаці,Ясухару Соримачи,Yasuharu Sorimachi,Jasuharu Sorimači,Yasuharu Sorimachi,Yasuharu Sorimachi,Yasuharu Sorimachi,Ясухару Соримати,Jasuharu Sorimači,Yasuharu Sorimachi,Соріматі Ясухару,m
1460,Камала Харыс,Камала Харис,Kamala Harris,Kamala Harrisová,Kamala Harris,Kamala Harris,Kamala Harris,Камала Харрис,Kamala Harris,Kamala Harris,Камала Гарріс,f
1461,Тэцудзі Хасіратані,Тецуджи Хаширатани,Tetsuji Hashiratani,Tecudži Haširatani,Tetsuji Hashiratani,Tetsuji Hashiratani,Tetsuji Hashiratani,Тэцудзи Хасиратани,Tecudži Haširatani,Tetsuji Hashiratani,Хасіратані Тецудзі,m
1462,Клаўс Эбнер,Клаус Ебнер,Klaus Ebner,Klaus Ebner,Klaus Ebner,Klaus Ebner,Klaus Ebner,Клаус Эбнер,Klaus Ebner,Klaus Ebner,Клаус Ебнер,m
1463,Башар Асад,Башар Асад,Baixar al-Àssad,Bašár al-Asad,Bashar al-Assad,Bashar al-Ásad,Baszszar al-Asad,Башар Асад,Bašar al Asad,Beşşar Esad,Башар аль-Асад,m
1464,Кацумі Аэнокі,Кацуми Оеноки,Katsumi Oenoki,Kacumi Óenoki,Katsumi Oenoki,Katsumi Ōenoki,Katsumi Ōenoki,Кацуми Оэноки,Kacumi Oenoki,Katsumi Oenoki,Оенокі Кацумі,m
1465,Б’ёрк,Бьорк,Björk,Björk,Björk,Björk,Björk,Бьорк,Björk,Björk,Б'єрк,f
1466,Шаміль Басаеў,Шамил Басаев,Xamil Bassàiev,Šamil Basajev,Shamil Basayev,Shamil Basáyev,Szamil Basajew,Шамиль Басаев,Šamil Basajev,Şamil Basayev,Шаміль Басаєв,m
1467,Фрэдэрык Бегбедэр,Фредерик Бегбеде,Frédéric Beigbeder,Frédéric Beigbeder,Frédéric Beigbeder,Frédéric Beigbeder,Frédéric Beigbeder,Фредерик Бегбедер,Frédéric Beigbeder,Frédéric Beigbeder,Фредерік Беґбеде,m
1468,Роберт Даўні,Робърт Дауни Джуниър,Robert Downey Jr.,Robert Downey Jr.,Robert Downey Jr.,Robert Downey Jr.,Robert Downey Jr.,Роберт,"Robert Downey, Jr.",Robert Downey Jr.,Роберт Дауні,m
1469,Юрген Колер,Юрген Колер,Jürgen Kohler,Jürgen Kohler,Jürgen Kohler,Jürgen Kohler,Jürgen Kohler,Юрген Колер,Jürgen Kohler,Jürgen Kohler,Юрген Колер,m
1470,Осаму Маэда,Осаму Маеда,Osamu Maeda,Osamu Maeda,Osamu Maeda,Osamu Maeda,Osamu Maeda,Осаму Маэда,Osamu Maeda,Osamu Maeda,Маеда Осаму,m
1471,Ясутосі Міура,Ясутоши Миура,Yasutoshi Miura,Jasutoši Miura,Yasutoshi Miura,Yasutoshi Miura,Yasutoshi Miura,Ясутоси Миура,Jasutoši Miura,Yasutoshi Miura,Міура Ясутосі,m
1472,Дзмітрый Мядзведзеў,Дмитрий Медведев,Dmitri Medvédev,Dmitrij Medveděv,Dmitry Medvedev,Dmitri Medvédev,Dmitrij Miedwiediew,Дмитрий Медведев,Dimitrij Medvedjev,Dmitri Medvedev,Дмитро Медведєв,m
1473,Пётр Парашэнка,Петро Порошенко,Petrò Poroixenko,Petro Porošenko,Petro Poroshenko,Petró Poroshenko,Petro Poroszenko,Пётр Порошенко,Petro Porošenko,Petro Poroşenko,Петро Порошенко,m
1474,Сара Джэсіка Паркер,Сара Джесика Паркър,Sarah Jessica Parker,Sarah Jessica Parker,Sarah Jessica Parker,Sarah Jessica Parker,Sarah Jessica Parker,Сара Джессика Паркер,Sarah Jessica Parker,Sarah Jessica Parker,Сара Джессіка Паркер,f
1475,Скоці Піпен,Скоти Пипън,Scottie Pippen,Scottie Pippen,Scottie Pippen,Scottie Pippen,Scottie Pippen,Скотти Пиппен,Scottie Pippen,Scottie Pippen,Скотті Піппен,m
1476,Крыс Рок,Крис Рок,Chris Rock,Chris Rock,Chris Rock,Chris Rock,Chris Rock,Крис Рок,Chris Rock,Chris Rock,Кріс Рок,m
1477,Джаан Роўлінг,Джоан Роулинг,Joanne Rowling,Joanne Rowlingová,J. K. Rowling,J. K. Rowling,J.K. Rowling,Джоан Роулинг,J. K. Rowling,J. K. Rowling,Джоан Роулінг,f
1478,Тэдрас Гебрэесус,Тедрос Гебрейесус,Tedros Adhanom,Tedros Adhanom Ghebreyesus,Tedros Adhanom Ghebreyesus,Tedros Adhanom,Tedros Adhanom,Тедрос Аданом Гебреисус,Tedros Adhanom,Tedros Adhanom Ghebreyesus,Тедрос Аданом Гебреїсус,m
1479,Георгэ Хаджы,Георге Хаджи,Gheorghe Hagi,Gheorghe Hagi,Gheorghe Hagi,Gheorghe Hagi,Gheorghe Hagi,Георге Хаджи,Gheorghe Hagi,Gheorghe Hagi,Георге Хаджі,m
1480,Кэнта Хасэгава,Кента Хасегава,Kenta Hasegawa,Kenta Hasegawa,Kenta Hasegawa,Kenta Hasegawa,Kenta Hasegawa,Кэнта Хасэгава,Kenta Hasegava,Kenta Hasegawa,Хасегава Кента,m
1481,Хіросі Хіракава,Хироши Хиракава,Hiroshi Hirakawa,Hiroši Hirakawa,Hiroshi Hirakawa,Hiroshi Hirakawa,Hiroshi Hirakawa,Хироси Хиракава,Hiroši Hirakava,Hiroshi Hirakawa,Хіракава Хіросі,m
1482,Такумі Хорыікэ,Такуми Хориике,Takumi Horiike,Takumi Horiike,Takumi Horiike,Takumi Horiike,Takumi Horiike,Такуми Хориикэ,Takumi Horiike,Takumi Horiike,Хоріїке Такумі,m
1483,Ян Лівэй,Ян Лиуей,Yang Liwei,Jang Li-wej,Yang Liwei,Yang Liwei,Yang Liwei,Ян Ливэй,Jang Livej,Yang Liwei,Ян Лівей,m
1484,Dr. Dre,Доктор Дре,Dr. Dre,Dr. Dre,Dr. Dre,Dr. Dre,Dr. Dre,Доктор Дре,Dr. Dre,Dr. Dre,Dr. Dre,m
1485,Абу Мусаб аз-Заркаві,Абу Мусаб ал-Заркауи,Abu Mussab al Zarqauí,Abú Musab az-Zarkáví,Abu Musab al-Zarqawi,Abu Musab al Zarqaui,Abu Musab az-Zarkawi,Абу Мусаб аз-Заркави,Abu Musab al-Zarkavi,Ebu Musab ez-Zerkavi,Абу Мусаб аз-Заркаві,m
1486,Хэлі Беры,Хали Бери,Halle Berry,Halle Berryová,Halle Berry,Halle Berry,Halle Berry,Хэлли Берри,Halle Berry,Halle Berry,Геллі Беррі,f
1487,Джымі Вэйлз,Джими Уейлс,Jimmy Wales,Jimmy Wales,Jimmy Wales,Jimmy Wales,Jimmy Wales,Джимми Уэйлс,Jimmy Wales,Jimmy Wales,Джиммі Вейлз,m
1488,Томас Геслер,Томас Хеслер,Thomas Häßler,Thomas Häßler,Thomas Häßler,Thomas Häßler,Thomas Häßler,Томас Хесслер,Thomas Häßler,Thomas Häßler,Томас Гесслер,m
1489,Джэфры Джэйкаб Абрамс,Джей Джей Ейбрамс,Jeffrey Jacob Abrams,J. J. Abrams,J. J. Abrams,J. J. Abrams,J.J. Abrams,Джей Джей Абрамс,Jeffrey Jacob Abrams,J. J. Abrams,Джефрі Джейкоб Абрамс,m
1490,Ян Жалезны,Ян Железни,Jan Železný,Jan Železný,Jan Železný,Jan Železný,Jan Železný,Ян Железны,Jan Železný,Jan Železný,Ян Железний,m
1491,Рэнэ Ігіта,Рене Игита,José René Higuita,René Higuita,René Higuita,René Higuita,René Higuita,Рене Игита,René Higuita,René Higuita,Рене Ігіта,m
1492,Кацуо Канда,Кацуо Канда,Katsuo Kanda,Kacuo Kanda,Katsuo Kanda,Katsuo Kanda,Katsuo Kanda,Кацуо Канда,Kacuo Kanda,Katsuo Kanda,Канда Кацуо,m
1493,Хелена Бонэм Картэр,Хелена Бонам Картър,Helena Bonham Carter,Helena Bonham Carterová,Helena Bonham Carter,Helena Bonham Carter,Helena Bonham Carter,Хелена Бонем Картер,Helena Bonham Carter,Helena Bonham Carter,Гелена Бонем Картер,f
1494,Нобуюкі Кодзіма,Нобуюки Коджима,Nobuyuki Kojima,Nobujuki Kodžima,Nobuyuki Kojima,Nobuyuki Kojima,Nobuyuki Kojima,Нобуюки Кодзима,Nobujuki Kodžima,Nobuyuki Kojima,Кодзіма Нобуюкі,m
1495,Дэвід Кэмеран,Дейвид Камерън,David Cameron,David Cameron,David Cameron,David Cameron,David Cameron,Дэвид Кэмерон,David Cameron,David Cameron,Девід Камерон,m
1496,Энрыка Лета,Енрико Лета,Enrico Letta,Enrico Letta,Enrico Letta,Enrico Letta,Enrico Letta,Энрико Летта,Enrico Letta,Enrico Letta,Енріко Летта,m
1497,Ёсіюкі Мацуяма,Йошиюки Мацуяма,Yoshiyuki Matsuyama,Jošijuki Macujama,Yoshiyuki Matsuyama,Yoshiyuki Matsuyama,Yoshiyuki Matsuyama,Ёсиюки Мацуяма,Jošijuki Macujama,Yoshiyuki Matsuyama,Мацуяма Йосіюкі,m
